caption;commentsCount;firstComment;Comments/0/likesCount;Comments/0/Username;Comments/0/text;Comments/1/likesCount;Comments/1/ownerUsername;Comments/1/text;Comments/2/likesCount;Comments/2/ownerUsername;Comments/2/text;Comments/3/likesCount;Comments/3/ownerUsername;Comments/3/text;Comments/4/likesCount;Comments/4/ownerUsername;Comments/4/text;Comments/5/likesCount;Comments/5/ownerUsername;Comments/5/text;Comments/6/likesCount;Comments/6/ownerUsername;Comments/6/text;likesCount;ownerUsername;timestamp
"Hai Magang'ers,

Masih bingung tentang studi independen?

Masih galau memilih yang pas dan bisa berdampak untuk rencana karir masa depan?

Atau ingin mulai membangun start-up tapi bingung bagaimana harus memulai?

Don't worry gaes...
Yuk, kita Sharing Seru di Malam Sabtu bersama Microsoft Indonesia dan Achmad Zaky Foundation (Start-up Campus) yang bakal membantumu menata karir impianmu melalui program studi independen andalan mereka.

Catet tanggalnya yak :
? Jum'at, 16 Juli 2021
? 19.00 WIB
 IG Live @ecc.co.id

Your Future is in your hand, be prepare

See you... ^^

#MSIB #KampusMerdeka #MagangMerdeka #MerdekakanPeluang #MerdekaBelajar #MagangBersertifikat #StudiIndependenBersertifikat";3;@microsoft;1;putut_nalendra;@microsoft;1;andreanynthn;@berlianharry;0;berlianharry;@andreanynthn gass;0;;;0;;;0;;;0;;;82;ecc.co.id;2021-07-15T03:21:45.000Z
"MT School Parsial
.
Agenda:
Upgrading Trainer Leader #1
.
Materi Pelatihan:
? Microsoft Teams Education Essentials
Materi utk mentransformasi sekolah dgn memusatkan banyak aktivitas melalui Microsoft Teams: 
membuat & mengelola kelas virtual
model pembelajaran asinkron & sinkron
mengelola dokumen di kelas virtual
melakukan integrasi Teams dgn aplikasi lain
pendistribusian tugas di Teams
.
Pemateri:
Mari Belajar
Terima kasih Mari Belajar 
.
Waktu Pelaksanaan: 
Rabu, 14 Oktober 2021
.
Tempat:
Dapur Semar, Wates, Kulon Progo
.
#Moral #Teknologi #Sekolah #MoralTechnologySchool #PeningkatanPendidikan #PeningkatanPendidikanKarakter #PendidikanKulonProgo
#PenerimaManfaatParsial";0;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;8;mtschool;2021-11-29T01:12:52.000Z
"The power of cloud technology has undeniably transformed business across industries. Technology improvement including website deployment, public storage and database, monitoring, auto scaling up, all can be done very seamlessly today.

Thanks to Microsoft MariBelajar, I get to learn all those technologies, especially on cloud identities, compute services, virtual networking, storage, database, and monitoring-logging. Throughout the four months, I learned that in essence, technologies in Microsoft Azure share a very similar pattern in configuration. This makes the learning process much easier for developers.

Now, it's time to scale up with these cloud services. Be what's next!

#Microsoft #MariBelajar #StudiIndependen #PeluangkanMerdeka #KampusMerdeka";0;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;11;jnautumnn;2021-12-13T13:23:24.000Z
"Bulan Agustus adalah bulan Kemerdakaan NKRI, dan bulan ini identik dengan kemeriahan perayaan kemerdekaan, baik di sekolah-sekolah atau pun instansi pemerintah. Nah, bagaimana perayaan kemerdekaan di lingkungan institusi Anda?

Yuk bagikan momen-momen seru Anda bersama kolega dan anak didik Anda dalam merayakan HUT NKRI yang ke-74 tahun ini di komunitas, dan dapatkan reward menarik.

Persyaratan:
1. Pendidik di seluruh Indonesia yang memiliki akun Office 365 dengan domain @guruinovatif.com. Jika Anda belum memilikinya, Anda dapat mengajukan permintaan akun di bit.ky/registrasi-office365
2. Tergabung sebagai anggota grup komunitas Guru Inovatif di Microsoft Teams. Jika belum bergabung, baca petunjuk bergabung di bit.ly/GabungTeams
3. Mengunggah fot dan caption menarik di tab Conversation.

Unsur Penilaian:
1. Kualitas gambar 
2. Keterangan pada gambar (caption)
3. Kesesuaian tema

Deadline: 14 September 2019.

#hurri74 #kemerdekaan # kemerdekaanindonesia #hutrike74 #nkri #merdeka #indonesiamerdeka #photocompetitions #photocompetitions #pendidik #guru #lombaguru #inspirasiuntuknegeri #guruinovatif #o365 #office365 #teamscompetition
#lomba_update 
@lomba_update as a media partner";1;@ekarevadiaz;1;sintianiperdani;@ekarevadiaz;0;;;0;;;0;;;0;;;0;;;0;;;63;lomba_update;2019-08-27T06:21:50.000Z
"Terima Kasih Kepada @microsofteducationindonesia, @kampusmerdeka.ri dan @maribelajar_id?yang telah memberikan Saya Kesempatan dalam Program Study Independent pada PT Microsoft Indonesia?Terima Kasih Banyak Kepada Mrs. Indrajani Sutedja and Assistant Mentor Mrs. Ade Siti Nur Zainab ???yang Telah Membimbing dan Membantu Saya Dalam Study Independent - Data And Artificial Intelligence????????????????

Selama Program Pembelajaran Learning Track Data And Artificial Intelligence saya Mendapatkan Banyak Pengalaman, Relasi, Skill  Ilmu pengetahuan Baru yang bermanfaat serta Inovasi dalam Technology Microsoft?

Alhamdullilah untuk Hal yang saya dapatkan dari pakar Industry tersebut?Di masa Depan Akan Menjadi Bekal saya dalam perkembangan Dunia Technology Data Science?Semua Orang apapun Latar Belakangnya Dapat Mempelajari Science and Technology apapun Selama Bumi Masih Berputar ?

Teknologi telah mengubah segalanya. Dan teknologi masa depan akan mengubah segalanya yang ada hari ini.
Setiap teknologi memiliki resiko yang dapat menghancurkan kehidupan. Tapi kita juga memerlukan teknologi tersebut untuk membangun kehidupan yang lebih baik. ?????????

Love Technology, Love Future!??????

#microsoft #merdekakanpeluang #kampusmerdeka #studyindependent #maribelajar";6;Alhamdulillah...sukses terus mas @riyan_sobirin_;1;rotikopipopibu_sawahbaru;Alhamdulillah...sukses terus mas @riyan_sobirin_;1;ca.tris2;Mantab. Sukses terus broo;1;riyan_kenshi;@rotikopipopibu_sawahbaru Aamiin, Terima Kasih Banyak Bu Mita , Atas Bantuan waktu Skripsi saya, Syukur Alhamdullilah Saya bisa Lulus Sidang Skripsi dengan Nilai Terbaik ???;1;rotikopipopibu_sawahbaru;@riyan_sobirin_ Masya Allah tabarokallah...;0;;;0;;;0;;;31;riyan_kenshi;2021-12-14T14:07:40.000Z
"Yuk ikutan kontes foto dari @maribelajar_id berikut

Bulan Agustus adalah bulan Kemerdakaan NKRI, dan bulan ini identik dengan kemeriahan perayaan kemerdekaan, baik di sekolah-sekolah atau pun instansi pemerintah. Nah, bagaimana perayaan kemerdekaan di lingkungan institusi Anda?

Yuk bagikan momen-momen seru Anda bersama kolega dan anak didik Anda dalam merayakan HUT NKRI yang ke-74 tahun ini di komunitas, dan dapatkan reward menarik.

Persyaratan:
1. Pendidik di seluruh Indonesia yang memiliki akun Office 365 dengan domain @guruinovatif.com. Jika Anda belum memilikinya, Anda dapat mengajukan permintaan akun di bit.ky/registrasi-office365
2. Tergabung sebagai anggota grup komunitas Guru Inovatif di Microsoft Teams. Jika belum bergabung, baca petunjuk bergabung di bit.ly/GabungTeams
3. Mengunggah fot dan caption menarik di tab Conversation.

Unsur Penilaian:
1. Kualitas gambar 
2. Keterangan pada gambar (caption)
3. Kesesuaian tema

Deadline: 14 September 2019.

#HUTRI74 i74 
#kemerdekaan #kemerdekaanRI74 #merdekaanindonesia #hutrike74 #nkri #merdeka #indonesiamerdeka #photocompetitions #photocompetitions #pendidik #guru #lombaguru #inspirasiuntuknegeri #guruinovatif #o365 #office365 #teamscompetition

@lomba_update as a media partner";1;@akunaalu;0;dantialifa.n;@akunaalu;0;;;0;;;0;;;0;;;0;;;0;;;73;lomba_update;2019-08-23T06:51:17.000Z
"""Be a person who is always ready to face every challenge that comes your way"" - BJ HABIBIE

Alhamdulillah, I have completed the First Batch Independent Study of Kampus Merdeka at PT. Microsoft Indonesia. I got a lot of learning, both soft skills and hard skills, which were given by the mentor from MariBelajar  as the organizer with enthusiasm and challenges. I have gone through episode after episode with a sense of responsibility as a student agent of change during this pandemic.

In the learning track Microsoft Productivity: The Modern Workplace, Capestone Project is provided in the form of a solution that brings Microsoft 365 capabilities and is integrated with each other, combined with Power Automate powerfull capabilities for automation. On this occasion, I tried to implement it in the real world, in this case in the online workshop management process at LPK STMIK JAKARTA STI&K. The result achieved is that the solution is able to provide better online workshop management.

Participate in Independent Study at PT. Microsoft Indonesia was an interesting and valuable experience for me. I learned many things from the process, especially when I was chosen from 5,946 applicants, I am very proud to be able to make the good name of my beloved campus proud. Hopefully other STMIK JAKARTA STI&K  colleagues can follow in our footsteps and make our beloved campus proud. Thank you for the attention and support of the lecturers and the STMIK JAKARTA STI&K campus who have given us the opportunity to work and innovate. Thank you Microsoft, thank you MariBelajar, thank you mentor Agus Suparno  and his mentor assistant (Indra Gunawan), without all of you I would never have had the opportunity to get through my amazing and stunning semester this year. From my deepest heart, Thank You.

#Microsoft #MerdekakanPeluang #KampusMerdeka #StudiIndependen #Maribelajar";3;Proud of you bro....;0;syukurabdillah46;Proud of you bro....;0;kelurahan_manggarai_selatan;Mantap om bos;0;stmikjakarta;Semangat;0;;;0;;;0;;;0;;;23;razorska;2021-12-14T12:58:42.000Z
"Halo!!! Saya Yusuf dari Universitas Jember sebentar lagi akan menjadi alumni pertama program Studi Independen Bersertifikat pada PT. Microsoft Indonesia dengan learning track Cloud Fundamental Track.

Mengikuti program ini selama 4 bulan memberikan saya kesempatan untuk belajar lintas disiplin ilmu dan tentunya menyesuaikan diri dengan kebutuhan industri di masa mendatang. Ditemani dengan mentor yang mumpuni di bidangnya, kegiatan pembelajaran terasa sangat mudah dilalui karena penjelasan dari mentor disertai dengan contoh yang sederhana. 

Banyak sekali manfaat yang saya dapatkan dari kegiatan ini, dari relasi, softskill dan hardskill terkait teknologi terkini (cloud computing). Terimakasih @kampusmerdeka.ri @microsofteducationindonesia @maribelajar_id telah membantu saya dalam mempersiapkan skill untuk dunia kerja. Yuk daftarkan dirimu di Program Studi Independen Bersertifikat dari Kampus Merdeka dan siapkan masa depan yang cerah! 

#Microsoft #PeluangkanMerdeka #KampusMerdeka #StudiIndependen #MariBelajar";35;Sopo kuiii;0;roniwidodo334;Sopo kuiii;0;hijrahtzamzah;dah luan aja ni bg wkwk;0;no.ft700;P;0;rais_akbarr;iku drijine lope lope nk sopo mas cop;0;yusuftaufikhur;@rezazulfani salamnya orang atheis;0;;;0;;;223;yusuftaufikhur;2021-12-16T08:56:33.000Z
"[Studi Independen Kampus Merdeka x Microsoft x MariBelajar]
PT Microsoft Indonesia

Halo, semuanya. perkenalkan, saya ADI KUSUMA ATMAJA mahasiswa semester 7 jurusan Ilmu Hubungan Internasional yang merupakan peserta  program Kampus Merdeka Studi Independen Microsoft Indonesia. Saya sangat bersyukur dan beruntung dengan adanya program ini dan bisa mewakili Universitas Satya Negara Indonesia. Begitu banyak benefit yang saya dapatkan selama mengikuti program ini.

Selama 4 bulan terakhir, banyak sekali pengalaman yang saya dapatkan, saya mempelajari Microsoft Office, Microsoft 365 Fundamentals, Power apps, power bi, dan power automate, selain itu juga mendapatkan teman dari berbagai kampus, mendapatkan sertifikat skala internasional. Semoga Ilmu yang saya dapatkan dari program ini dapat bermanfaat bagi tujuan saya kedepannya.

Dan saya santa berterimakasih kepada teman-teman MP-001, mentor Pak Ali dan assisten mentor kak Kevin yang selalu adda Ketika saya meminta saran dan tolong.
#Microsoft #MerdekakanPeluang #KampusMerdeka #StudiIndependen #maribelajar";1;Mantap;0;donnysaputro;Mantap;0;;;0;;;0;;;0;;;0;;;0;;;127;adikatmaja;2021-12-16T10:21:45.000Z
"Deciding to join MSIB was one of the best decisions I have ever made. Being part of @maribelajar_id @microsofteducationindonesia was a great experience that I couldn't imagine. Thank you so much for @maribelajar_id @microsofteducationindonesia for giving me a chance to study many things in these past four months. It's a fascinating and challenging time in my life! 

I've learned various insightful knowledge these past four months, from basic to advanced, from fun and easy to complicated and complex lessons. But thank god, @maribelajar_id and @microsofteducationindonesia provided us with a knowledgeable mentor (Hallo Pak Ali mentor MP-001?), the mentor was very informative, and he always made sure that everyone in our class clearly understood the lessons. He asked our opinions and our difficulties and answered our questions anytime needed. 

What I loved the most about this program is that I can take four kinds of international certifications from Microsoft for free! It's such a tempting opportunity, isn't it! Well, after all, it's such a fantastic time with @maribelajar_id and @microsofteducationindonesia that I can never forget. Once again, thank you! #Microsoft #MerdekakanPeluang #KampusMerdeka #MariBelajar";11;cangtiip;0;deel_lla;cangtiip;0;dawasssss;AAAAAAAAA KEREN BANGET BESTIE;0;xotiasxo;awww ??????;0;aprilianrlaz;Sisssss ??;0;lemniscatic_;@deel_lla //jadi maloe;0;deel_lla;@lemniscatic_ wkwkwk, u ga mau ketemu i kak :v;0;;;58;lemniscatic_;2021-12-14T09:36:27.000Z
