caption;commentsCount;firstComment;hashtags;latestComments/0/ownerUsername;likesCount;ownerUsername;timestamp
"[Webinar Memberdayakan Pendidik dengan Artificial Intelligence (AI)]
 
Hallo sobat MariBelajar,
 
Tahukah kamu bahwa kita dapat menavigasikan AI dalam pendidikan melalui konsep, teknik, dan alat AI dasar? Yuk cari tahu tentang pendayagunaan AI untuk pendidik dalam rangkaian webinar yang diselenggarakan MariBelajar secara gratis. 
 
Amankan posisimu sekarang dengan daftar melalui: go.maribelajar.org/belajar
 
Hari, Tanggal : Rabu, 27 Desember 2023
Pukul: 13.00 WIB - selesai
 
Pendaftaran Gratis, segera daftarkan dirimu sekarang melalui:
go.maribelajar.org/belajar
 
Info :
+62 895-3585-15901
 
#MariBelajar #Webinar #Webinarpendidik";172;Selamat malam kak, mohon maaf mengganggu. Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. Saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. Terima kasih.;MSIB;tianiexo;81;maribelajar_id;2022-01-11T07:03:08.000Z
"Dear sobat MariBelajar,

Program Studi Independen Bersertifikat Telah dibuka,

Daftarkan dirimu dan ajak temanmu untuk mendaftar SIB di MariBelajar, ada reward menarik loh..

Mau tau caranya? Simak pada gambar di atas ??

#MariBelajar 
#MSIB6
#MagangMerdeka
#KampusMerdeka
#MagangBersertifikat
#Studilndependen
#BukanMagangdanStudiBiasa
#mariberposesmeraihsukses";33;Kak mau tanya kalo ICT itu spesifikasi laptopnya bagaimana ya kak? Soalnya punya saya yang model lama;MariBelajar;tianiexo;220;maribelajar_id;2022-01-03T07:15:06.000Z
"Yuk intip keseruan testimoni peserta webinar Scarpping data hari ini .

Siapa tahu, testimonimu yang berikutnya bakal jadi bintang di feed ini.  Are you ready to create memories with us? Let’s make it happen! 

#MariBelajarStory #MariBelajarWebinar";6;Selamat malam kak, mohon maaf mengganggu. Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. Saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. Terima kasih.;MSIB;tianiexo;94;maribelajar_id;2022-01-11T07:02:56.000Z
"Hi Sobat MariBelajar,

Siap untuk memulai petualangan Data Scraping? Bergabunglah dalam Kegiatan MariBelajar Webinar Premium ""Menguak Rahasia Scrapping Data"", dalam kegiatan ini peserta akan mempelajari teknik, tools, etika, dan contoh penggunaannya dalam mengumpulkan data dari berbagai sumber. Jangan lewatkan keseruan ini, pada:

 Tanggal: Kamis, 23 November 2023
? Pukul: 13.00 - 15.00 WIB
 Tempat: Online di Microsoft Teams

 Investasi: Hanya Rp75.000,-

Daftar sekarang di https://go.maribelajar.org/bootcamp
Mari bersama-sama menjelajahi dunia Data Scraping dengan cara yang seru!
#maribelajar #scarpingdata #data #webinar #scraping";13;Selamat malam kak, mohon maaf mengganggu. Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. Saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. Terima kasih.;KampusMerdeka;tianiexo;136;maribelajar_id;2021-12-31T05:37:29.000Z
"Dear Sobat Maribelajar,

Yuk, kita simak apa kata para alumni Maribelajar tentang pengalaman belajar di sini. Mau seperti mereka?

Gabung segera di webinar mendatang! Geser ke kanan untuk info selengkapnya. 
Daftar: go.maribelajar.org/bootcamp

 #TestimoniMaribelajar #WebinarMaribelajar #Maribelajar #dataanalyst #webinardataanalyst #Webinar";20;Cek dm min tolong;Microsoft;howdians;246;maribelajar_id;2022-01-31T12:16:40.000Z
"Dear Sobat Maribelajar

Dalam rangka Dies Natalis ke 74, UGM menyelenggarakan UGM Metaverse Minecraft Challenge.

Kegiatan ini dapat diikuti oleh siswa SMA/Sederajat hingga mahasiswa perguruan tinggi.

Syarat dan ketentuan lebih lanjut dapat melihat gambar slide kedua.

Yuk ajak teman-temanmu untuk mengikuti challenge ini dan raih hadiah total RP12.500.000.

Daftar melalui: bit.ly/ugm-metaverse

Kami tunggu karyamu 

MariBerkreativitas dan tunjukkan  imajinasimu.

#Maribelajar #UGMChallenge #diesnatalisUGM";19;Halo ka, izin bertanya mengenai PIC kampus itu untuk keperluan apa ya ? apakah untuk konfirmasi mengenai konversi sks? ataukah hal lainnya?;microsoftineducation;wildahtrianaa;485;maribelajar_id;2022-02-01T03:14:53.000Z
"Dear sobat Maribelajar!

Studi Independen Bersertifikat Maribelajar Angkatan 5 telah dibuka

Ikuti dan daftarkan dirimu dalam rangkaian Program Studi Independen Bersertifikat Angkatan 5 bersama Maribelajar melalui go.maribelajar.org/msib

Simak penjelasannya dengan geser ke kiri sob!

Sampai jumpa diruang kelas

#MariBelajar #MSIB #StudiIndependen #kampusmerdeka";3;Hai admin, tolong cek dm;Microsoft;jilmoss;238;maribelajar_id;2022-02-15T06:49:45.000Z
"Dear Sobat Maribelajar

Siapkan diri untuk meningkatkan keahlian komputermu, dan peluang menjadi CASN dan PPPK!?

Ikuti Pelatihan Aplikasi Perkantoran dengan Microsoft Office 365 bersama Maribelajar. 

Dapatkan e-sertifikat dengan 4 kompetensi: Word, Excel, PowerPoint, dan OneNote. Pelatihan ini merupakan pembelajaran dan pemahaman komputer level 1 yang dapat digunakan untuk memenuhi persyaratan CASN dan PPPK 

 Pelaksaaannya akan diselenggarakan pada:
 Tanggal: 25 September - 7 Oktober 2023
? Waktu belajar:  Kelas Pagi (10.00 WIB) & Kelas Malam (19.30 WIB)

Yuk daftarkan dirimu sekarang di go.maribelajar.org/pelatihan

Asah kemampuanmu dan raih masa depanmu bersama MariBelajar! ??

#Maribelajar #CASN #PPPK #pelatihancasn #pelatihanpppk #pelatihanmicrosoft #pelatihanoffice365";5;keren;smk;prasmul.eli;94;maribelajar_id;2022-05-18T04:44:59.000Z
"Ingin tahu cara cepat mengubah halaman tertentu secara cepat di Microsoft Word tanpa penggunaan software tambahan lainnya? 

Yuk simak video ini 

#Maribelajar #MaribelajarStory #MariTips #Word #wordtips #MicrosoftWord";2;mantapp;MariBelajar;prasmul.eli;129;maribelajar_id;2022-05-01T08:32:25.000Z
"Dear sobat Maribelajar,

Berencana meningkatkan kemampuan sebagai Data Analyst dengan Microsoft Excel? Ikuti Webinar Yuk pelajari Excel untuk Data Analyst. Yang diselenggarakan oleh Maribelajar pada:

Hari/tanggal: Selasa, 13 Juni 2023
Pukul: 13.30 - 14.30 WIB

Tautan pendaftaran: Go.maribelajar.org/daftar

Segera daftarkan dirimu untuk mendapatkan ilmu yang sangat bermanfaat dari ahli dibidangnya. Jangan lupa untuk bagikan informasi ini ke teman-teman dan lingkungan mu sob. Webinar ini bebas biaya dan dibuka untuk umum

#maribelajar #maribelajarstory #webinar #pelatihanbebasbiaya #pelatihanoffice #Microsoft #pelatihanexcel #Excel #dataanalyst #MicrosoftExcel #webinargratis";1;wahh mantap, jangan lupa kunjungi profil kami yaa;MicrosoftIndonesia;prasmul.eli;61;maribelajar_id;2022-05-19T08:49:55.000Z
